Tdh,chamber,trt,CO2L_mean,DIFFP_mean,CO2FLOW_mean,CO2CChamb_mean,DPCChamb_mean,TAIR_mean,AddTime_mean,LCO2slope_mean,CONDH2O_mean,TBox_mean,DoorCnt_mean,CO2C_mean,ROTR_RH_mean,AIRPRESS_mean,DewPntC_mean,ROTR_TA_mean,PAR_mean,WIND_mean,REFCO2_mean,RAIN_mean,Taref_al_mean,RHref_al_mean,Tchilled_SP_mean,Tchilled_mean,DPref_al_mean,Tair_SP_mean,RH_al_mean,DP_al_mean,Tsub_al_mean,RH_SP_mean,Tair_al_mean,kfactor_mean,ChVolume_mean,HWTC_mean,prevDateTime_mean,prevHWTC_mean,prevCWTC_mean,tcycle_mean,fCO2_mean,Href_mean,ICO2_mean,Dref_mean,Ain_mean,Aout_mean,v_mean,F_mean,deltaS_mean,Fwat_mean,Vwat_mean,deltaH2O_mean,FluxH2O_mean,FluxCO2_mean,d18O.corrected_WV,d18O.corrected_WV(AMB),d18O.corrected_Cond,leaftemp,Camp
25/10/2016 9:00,C01,ambient,426.725,92.25,342.0849991,423.925,11.85,19.35,617.8853226,1.03743575,0.021712963,32.15,0,423.325,51.78,101.95,10.1,19.185,1367.7,0.595,425.075,0,18.88765287,61.50001812,7.457299709,7.562500119,11.41158116,18.88973427,64.51228476,12.15582705,20.32862234,61.67397642,18.81769872,0.76,52800,1399.595438,,1367.391758,427.45,900,5.701416651,1338.379155,0.174521738,1.210966752,6.839894624,6.844054656,0.129527104,0.129799885,-0.009232143,0.00400869,0.004194405,0.00082726,0.022725939,0.184026662,-11.61843179,-10.01445232,-2.336984956,21.9315,1
25/10/2016 10:00,C01,ambient,409.25,92.025,343.4000015,407.75,11.875,21.925,586.5233164,1.0314665,0.026996451,34.6,0,405.1,37.325,101.85,7.625,21.46,1710.45,0.955,406,0,21.35732198,46.92554092,5.637053847,5.437500119,9.615851521,21.34198904,55.30932522,12.19981098,23.83355761,46.92970657,21.31795764,0.76,52800,1400.5598,,1408.354207,411,900,5.723333359,1191.188714,0.166526749,1.200273904,6.797624313,6.811791651,0.123996834,0.123207984,-0.008511905,0.003549219,0.00418169,-0.00020041,0.027428511,0.174249804,-12.25007815,-10.26790397,-0.698297143,24.00466667,1
25/10/2016 11:00,C01,ambient,403.95,91.6,340.0374985,403.65,12.5,24.25,565.4418373,1.031592,0.027141204,36.15,0,401.9,32.805,101.73,7.35,23.6,1823.15,1.115,401.9,0,23.3312583,42.71095467,5.847426951,5.812500119,10.0260129,23.30440831,51.60880089,12.93220651,26.31550694,42.65848827,23.26456761,0.76,52800,1472.229277,,1452.577279,404.525,900,5.667291641,1222.579303,0.158863219,1.190728781,6.755713283,6.772531803,0.122040378,0.121210978,-0.002291667,0.0036246,0.004375427,0.000505826,0.028397856,0.160325485,-11.86164106,-11.3568649,-0.496021239,25.53333333,1
25/10/2016 12:00,C01,ambient,398.075,88.9,338.2249985,400.425,12.75,25.45,572.3238087,1.02751935,0.029819136,35.5,0,400.4,26.965,101.625,6.55,24.915,1790.65,1.195,400.4,0,24.91256762,36.41804314,5.149448574,5.200000048,9.077669621,24.90632343,47.479074,13.22990847,27.93888307,36.62007713,24.97354603,0.76,52800,1500.284812,,1492.54291,398.95,900,5.637083308,1146.011319,0.160014155,1.183517687,6.633309479,6.65676485,0.1189968,0.118570407,0.003863095,0.003339957,0.004387072,0.000199562,0.031065813,0.155724667,-11.62534305,-11.38480927,,27.2115,1
25/10/2016 13:00,C01,ambient,402.025,86.6,332.5424881,403.325,12.35,26.875,525.2979231,1.03730875,0.038070062,34.7,0,400.1,24.055,101.5,6.075,26.455,1629.7,1.395,399.8,0,26.24767828,33.5793314,4.982107937,4.912500024,9.020594478,26.23456955,43.62284994,13.06256866,29.4320693,33.50018406,26.21912646,0.76,52800,1484.577148,,1490.919935,403.925,900,5.542374802,1144.760659,0.144549734,1.17678674,6.528312047,6.55049338,0.117944759,0.116518877,-0.001571429,0.003286952,0.004277191,-0.00016364,0.03889666,0.14469528,-12.44499603,-11.45661894,,28.9375,1
25/10/2016 14:00,C01,ambient,402.925,84.9,336.7299957,403.325,12.675,27.7,424.5172584,1.03834475,0.040024229,34.8,0.25,400.1,23.78,101.395,6.45,27.345,1365.65,1.16,399.8,0,27.32067323,32.34252644,5.506625533,5.587500036,9.436403751,27.33402228,42.05584764,13.41410768,28.98701954,32.48728919,27.22773838,0.76,52800,1518.899715,,1515.246206,404.2,900,5.612166595,1174.306159,0.118202162,1.171233819,6.449374588,6.471624163,0.116528414,0.115109227,-0.002291667,0.003334718,0.004328002,9.44E-05,0.041111874,0.119074641,-10.99354702,-11.39339603,-3.54282619,30.01,1
24/10/2016 13:00,C02,elevated ,406.1,104.75,309.125,405.1,14.525,23.1,539.849041,1.0389625,0.030164353,34.025,0,403.35,31.185,101.68,5.85,22.68,1625.5,1.745,403.65,0,22.64778256,41.76460838,4.917710602,4.87500006,9.053630233,25.64239907,50.56514454,15.0225569,25.60733247,41.78231239,25.43960834,0.79,52800,1643.673115,,1651.143633,405.7,900,5.152083333,1147.830411,0.137965703,1.193222209,7.515327985,7.552577483,0.136586997,0.135426655,-0.001571429,0.003787381,0.005450305,-0.000192437,0.03163484,0.138376789,-11.17832185,-12.58290861,-3.926579641,26.89233333,1
24/10/2016 14:00,C02,elevated ,404.9,104.475,310.4550018,405.125,14.375,23.15,551.0101976,1.03746425,0.024400464,33.525,0,402.8,29.51,101.6,5.525,22.7,1365.15,1.025,403.075,0,22.77889442,38.83869696,4.137307048,4.175000072,8.053501964,25.78360248,50.20925474,15.34995055,25.67272687,38.88139486,25.80475044,0.79,52800,1668.43143,,1618.25551,404.525,900,5.174250031,1076.054042,0.141419467,1.192071806,7.499834609,7.544283131,0.136444894,0.134955229,0.001571429,0.003546161,0.00553047,0.001293436,0.027678209,0.138358373,-10.8209947,-13.13103258,,27.16683333,1
24/10/2016 15:00,C02,elevated ,417.075,103.5,318.8199997,418.325,13.575,23.125,229.4303078,1.04191125,0.009478395,32.125,0,403.625,28.585,101.585,5.2,22.86,1005.95,1.72,403.35,0,22.7644558,38.15414762,3.791825056,3.725000083,7.752279758,25.79526043,48.7614727,14.35432684,25.74043083,38.20101118,25.2676096,0.79,52800,1565.514514,,1653.636055,416.275,900,5.313666662,1056.05312,0.060073135,1.192041379,7.464122814,7.502161734,0.14010532,0.134404002,0.005369048,0.003464043,0.005162209,-0.002271946,0.008904615,0.049002769,-10.3366543,-13.27287285,-4.55828,25.56266667,1
24/10/2016 16:00,C02,elevated ,414.225,102.45,329.5299988,415.1,12.9,21.8,58.27791947,1.041658,0.011719908,29.3,0,404.5,32.27,101.595,5.2,21.52,582.55,2.385,404.525,0,21.52509141,41.14943361,3.71300596,3.575000077,7.728010356,24.54382396,50.33886003,13.9570508,24.42811751,41.13859463,24.66918135,0.79,52800,1554.704074,,1496.035543,414.225,900,5.492166646,1053.742595,0.015881611,1.197197118,7.442120569,7.479403388,0.138603705,0.134398781,0.002291667,0.003445975,0.005110387,0.001512287,0.014896606,0.009385019,-12.05931126,-13.27180781,-3.690637126,24.16783333,1
